Emoji,ASCII Code,Hex Color
🟩,129001,#37c136
🟦,128998,#3b80f5
⬛,11035,#3c3c3c
🚹,128697,#4797e6
🟢,128994,#49c849
🅰,127344,#4d4d4d
✅,9989,#4dcc52
🔵,128309,#4f8ad8
🛂,128706,#519be6
⚫,9899,#545453
🛃,128707,#549de7
❎,10062,#54cd59
🏧,127975,#5688bd
💹,128185,#56cd5b
🌌,127756,#58697b
🚾,128702,#5ba1e7
♿,9855,#5ca1e7
🛅,128709,#5ca2e7
🈳,127539,#5fa2e7
🛜,128732,#6497eb
🎽,127933,#64bdde
🈯,127535,#64d068
💻,128187,#676767
🌑,127761,#687282
🕋,128331,#696660
🛄,128708,#6aa9e8
🌃,127747,#6c8ca1
📟,128223,#6e9d81
🩻,129659,#6ea5bd
🥬,129388,#6eac6d
🖲,128434,#6f798b
🛗,128727,#70a6e6
🧿,129535,#7388d4
💙,128153,#74a8f8
🪼,129724,#79c0fd
📘,128216,#7aa2c1
🚛,128667,#7ca47f
🪣,129699,#7ca5b2
🌚,127770,#7d818e
🌎,127758,#7e9bb7
🖤,128420,#838383
🌘,127768,#83847b
🎥,127909,#838588
🌉,127753,#847d7d
🌒,127762,#84867e
🛞,128734,#848687
🖥,128421,#858585
🔷,128311,#85b6e2
🔳,128307,#868685
🥏,129359,#86b2d6
🧳,129523,#87776c
🎱,127921,#888888
🎮,127918,#8a8985
⛴,9972,#8a8a8a
🦚,129434,#8ab493
🦋,129419,#8ab8cd
🎆,127878,#8b7391
🦥,129445,#8b7e68
🏴,127988,#8b8b8b
📺,128250,#8d8882
🌀,127744,#8daef1
🚙,128665,#8db7c9
💚,128154,#8ddb86
🌏,127759,#8ea4b2
🥦,129382,#8ea97a
🌍,127757,#8fa6ae
☁,9729,#909090
🚎,128654,#90aebf
🏿,127999,#918680
💣,128163,#91918e
🗾,128510,#91b8e0
📼,128252,#929292
🟫,129003,#93694d
🎑,127889,#939799
🚝,128669,#939ba6
📲,128242,#939da6
🚈,128648,#94a0ad
🏙,127961,#94b2ce
🐳,128051,#94cfde
🥷,129399,#959491
🗄,128452,#959a9b
📫,128235,#95aec1
🏞,127966,#95c2bc
🚇,128647,#96908f
🎩,127913,#969287
🔲,128306,#969695
🚔,128660,#969ea2
📭,128237,#96a1ab
🫑,129745,#96ac7e
🌳,127795,#96ad73
🧤,129508,#96d7b9
♻,9851,#979797
🌠,127776,#97aa9d
🪀,129664,#97ca80
🥅,129349,#988282
🔣,128291,#98afc4
📪,128234,#98b4c6
🔢,128290,#9ab1c5
🗺,128506,#9abfc6
🦠,129440,#9ac875
🎓,127891,#9b9690
📽,128253,#9b9d9d
🚮,128686,#9bb1c5
🔡,128289,#9bb2c5
🥶,129398,#9bc2ea
⌚,8986,#9c9c9b
🗃,128451,#9d9994
🎛,127899,#9da1a4
☎,9742,#9e9e9e
🏬,127980,#9ea2a9
🆙,127385,#9eb4c7
🟤,128996,#9f7b62
🐊,128010,#9fb29f
🔠,128288,#9fb4c7
🧌,129484,#a09e93
🎬,127916,#a0a0a0
📬,128236,#a0a8b2
🧵,129525,#a0b4b9
🔽,128317,#a0b5c8
🪨,129704,#a1a19e
◾,9726,#a1a1a1
🪬,129708,#a1adc4
🔼,128316,#a1b6c9
🎹,127929,#a2a2a2
🚟,128671,#a2a69d
🔀,128256,#a2b6c9
⏩,9193,#a2b7c9
📗,128215,#a2bb7f
🩱,129649,#a2d0d2
👾,128126,#a399ad
🐜,128028,#a39c9b
📓,128211,#a3a3a3
📹,128249,#a3a5a7
🧟,129503,#a3a8a2
⏫,9195,#a3b7ca
🛻,128763,#a3b8ba
🧮,129518,#a46048
📸,128248,#a49988
💾,128190,#a4a7aa
🚉,128649,#a4aaab
🚊,128650,#a4afb0
🔁,128257,#a4b8ca
📶,128246,#a4b8cb
🩵,129653,#a4e0f4
☯,9775,#a5a5a5
🖨,128424,#a5a7a8
🛰,128752,#a5aab7
🔂,128258,#a5b8ca
🔄,128260,#a5b9cb
💼,128188,#a69286
🏯,127983,#a6a3a6
🫒,129746,#a6a775
🚍,128653,#a6aba4
🚻,128699,#a6bacb
🍀,127808,#a6db83
🌰,127792,#a7735f
🐝,128029,#a79d70
🪙,129689,#a7aaac
🍳,127859,#a8a59c
🔜,128284,#a8a8a8
📱,128241,#a8a9a8
🪖,129686,#a8afa3
😈,128520,#a96fb5
🧺,129530,#a99b8d
💂,128130,#a9a497
👿,128127,#aa70b6
🎇,127879,#aa8469
🤿,129343,#aa9e90
🦨,129448,#aaa9a5
🔙,128281,#aaaaaa
🏢,127970,#aab3b7
👔,128084,#aac0d5
💦,128166,#aadef6
🌄,127748,#ab9090
🦃,129411,#ab928d
🦍,129421,#abaaaa
🔊,128266,#abb5b8
🪲,129714,#abbb7d
🔋,128267,#abc89c
🥘,129368,#ac906c
🦬,129452,#aca29d
🛺,128762,#acbb8d
🫐,129744,#acbdd8
📊,128202,#acc1c3
👗,128087,#ace4df
🪢,129698,#ad8c9f
🐻,128059,#ad947d
🦇,129415,#ada29b
🌗,127767,#ada47e
🥾,129406,#ada59d
🌓,127763,#ada781
▶,9654,#adadad
🔰,128304,#adc48e
🌲,127794,#adc4af
🐸,128056,#adc694
🧢,129506,#adc9f5
🍘,127832,#ae9767
🐗,128023,#aea39c
🦟,129439,#aea49a
🐃,128003,#aeaaaa
🔛,128283,#aeaeae
🥗,129367,#aeb588
🔘,128280,#afafaf
🫂,129730,#afc3d3
🍏,127823,#afce86
🏰,127984,#b0a7a2
🦅,129413,#b0aca9
👣,128099,#b0b0b0
🚆,128646,#b0bdca
👕,128085,#b0cce6
🔹,128313,#b0ceea
🛖,128726,#b1a89c
💽,128189,#b1ac98
🏁,127937,#b1b1b1
🎦,127910,#b1c2d1
👥,128101,#b1c6d6
🍱,127857,#b28c71
🧛,129499,#b29e83
🦣,129443,#b2a193
🚵,128693,#b2ab9d
⬅,11013,#b2b2b2
🚓,128659,#b2b8b9
🍩,127849,#b39784
🚜,128668,#b3af87
⬇,11015,#b3b3b3
🛝,128733,#b3bfdb
🤖,129302,#b3c6c7
🐿,128063,#b4997a
🐨,128040,#b4a9a6
🐧,128039,#b4ada4
🚠,128672,#b4b2b4
🚌,128652,#b4b393
🔏,128271,#b4b5ac
🗑,128465,#b4b9bd
🚐,128656,#b4bdbc
🖼,128444,#b4c071
🏾,127998,#b59782
🔌,128268,#b5b4b1
🪦,129702,#b5b5b3
👽,128125,#b5bebf
👖,128086,#b5bed7
🏪,127978,#b5c2bd
🛣,128739,#b5c3ab
🤢,129314,#b5c766
🚿,128703,#b5cdcf
🥒,129362,#b5d09d
🧩,129513,#b5d4a9
🩲,129650,#b5d6b4
🐬,128044,#b5dde7
🛐,128720,#b671c9
🤎,129294,#b6967f
🪵,129717,#b6a395
🦫,129451,#b6a495
🎭,127917,#b6a7a2
🦦,129446,#b6aca2
🚴,128692,#b6b1a5
⬆,11014,#b6b6b6
🛤,128740,#b6b7a3
📚,128218,#b6b7a7
🪮,129710,#b6b7b7
💺,128186,#b6bbc9
🚞,128670,#b6bda5
🧊,129482,#b6d5e8
🌿,127807,#b6d69f
🥌,129356,#b79798
🚖,128662,#b7af95
♥,9829,#b7b7b7
🛠,128736,#b7b8ba
💤,128164,#b7cbea
🧼,129532,#b7e6d2
🏘,127960,#b8a69f
